station_code,station_name,station_adress
ELYS,Avenue des Champs Elysées,"Avenue des Champs Elysées 75008, PARIS 8ème"
HAUS,Boulevard Haussmann,"35, Boulevard Haussmann 75009, Paris 9ème"
AUT,Boulevard Péripherique Auteuil,"Bd Péripherique - Porte d Auteuil 75016, PARIS 16ème"
BP_EST,Boulevard Périphérique Est,"rue Edouard Lartet 75012, Paris 12ème"
SOULT,Boulevard Soult,"37 bis boulevard Soult 75012, PARIS 12ème"
PA12,PARIS 12ème,"18 rue de la Brèche aux Loups 75012, PARIS 12ème"
PA13,PARIS 13ème,"11 rue George Eastman 75013, PARIS 13ème"
PA18,PARIS 18ème,"7 rue Ferdinand Flocon 75018, PARIS 18ème"
PA01H,PARIS 1er Les Halles,"Jardin des Halles-Al J. Supervielle 75001, Paris 1er"
PA07,PARIS 7ème,"Allée des Refuzniks 75007, PARIS 7ème"
BASCH,Place Victor Basch,"Avenue du Général Leclerc 75014, PARIS 14ème"
OPERA,Place de l'Opéra,"place de l'Opéra - terre plein sud 75002, Paris 2ème"
CELES,Quai des Célestins,"28 quai des Célestins 75004, PARIS 4ème"
BONAP,Rue Bonaparte,"16 rue Bonaparte 75006, PARIS 6ème"
EIFF3,Tour Eiffel 3ème étage,"3ème étage Tour Eiffel - 300m 75007, PARIS 7ème"
